KRCH,IRCH,JRCH,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,THTS,THTI,EPS,UHC
1,62,15,18,7,304,,0.006569525,1,3,0.35,0.3,3.5,0.3
1,63,17,18,4,83,,0.0001,1,3,0.35,0.3,3.5,0.3
1,63,16,18,5,340,,0.061635398,1,3,0.35,0.3,3.5,0.3
1,64,17,18,3,212,,0.061272573,1,3,0.35,0.3,3.5,0.3
1,64,18,21,4,38,,0.283949426,1,3,0.35,0.3,3.5,0.3
1,64,19,21,5,14,,0.0001,1,3,0.35,0.3,3.5,0.3
1,64,18,21,6,71,,0.279643595,1,3,0.35,0.3,3.5,0.3
1,64,19,21,7,50,,0.19785009,1,3,0.35,0.3,3.5,0.3
1,52,18,35,1,256,,0.109334334,1,3,0.35,0.3,3.5,0.3
1,44,18,25,19,253,,0.027607691,1,3,0.35,0.3,3.5,0.3
1,44,19,25,20,126,,0.079021958,1,3,0.35,0.3,3.5,0.3
1,40,19,25,14,231,,0.112094999,1,3,0.35,0.3,3.5,0.3
1,40,18,25,15,38,,0.180695084,1,3,0.35,0.3,3.5,0.3
1,63,20,40,1,299,,0.02003964,1,3,0.35,0.3,3.5,0.3
1,63,19,40,2,28,,0.106822961,1,3,0.35,0.3,3.5,0.3
1,52,19,35,2,306,,0.048917531,1,3,0.35,0.3,3.5,0.3
1,52,20,35,3,47,,0.105121901,1,3,0.35,0.3,3.5,0.3
1,48,19,25,24,180,,0.127096372,1,3,0.35,0.3,3.5,0.3
1,48,20,25,25,158,,0.082208171,1,3,0.35,0.3,3.5,0.3
1,38,20,25,11,121,,0.074107151,1,3,0.35,0.3,3.5,0.3
1,38,19,25,12,185,,0.166984896,1,3,0.35,0.3,3.5,0.3
1,63,21,33,12,161,,0.037046645,1,3,0.35,0.3,3.5,0.3
1,63,20,33,13,25,,0.11950115,1,3,0.35,0.3,3.5,0.3
1,51,20,35,4,246,,0.081229251,1,3,0.35,0.3,3.5,0.3
1,51,21,35,5,50,,0.019785009,1,3,0.35,0.3,3.5,0.3
1,50,20,25,27,181,,0.038588362,1,3,0.35,0.3,3.5,0.3
1,50,21,25,28,101,,0.157318124,1,3,0.35,0.3,3.5,0.3
1,35,20,25,6,71,,0.027964359,1,3,0.35,0.3,3.5,0.3
1,35,21,25,7,45,,0.0001,1,3,0.35,0.3,3.5,0.3
1,35,20,25,8,142,,0.028071363,1,3,0.35,0.3,3.5,0.3
1,64,22,41,26,157,,0.375133158,1,3,0.35,0.3,3.5,0.3
1,64,21,41,27,180,,0.552592918,1,3,0.35,0.3,3.5,0.3
1,62,21,33,11,142,,0.021055881,1,3,0.35,0.3,3.5,0.3
1,52,21,31,2,32,,0.18303669,1,3,0.35,0.3,3.5,0.3
1,35,22,25,4,164,,0.042641189,1,3,0.35,0.3,3.5,0.3
1,35,21,25,5,293,,0.190618472,1,3,0.35,0.3,3.5,0.3
1,67,23,41,22,45,,0.176361835,1,3,0.35,0.3,3.5,0.3
1,67,22,41,23,317,,0.151324145,1,3,0.35,0.3,3.5,0.3
1,62,23,33,9,36,,0.138887747,1,3,0.35,0.3,3.5,0.3
1,62,22,33,10,306,,0.075006881,1,3,0.35,0.3,3.5,0.3
1,52,22,31,3,295,,0.070949998,1,3,0.35,0.3,3.5,0.3
1,52,23,31,4,137,,0.094460689,1,3,0.35,0.3,3.5,0.3
1,34,23,25,2,109,,0.0001,1,3,0.35,0.3,3.5,0.3
1,34,22,25,3,198,,0.0001,1,3,0.35,0.3,3.5,0.3
1,66,24,41,20,241,,0.1657261,1,3,0.35,0.3,3.5,0.3
1,66,23,41,21,235,,0.161316834,1,3,0.35,0.3,3.5,0.3
1,60,23,33,7,129,,0.015429715,1,3,0.35,0.3,3.5,0.3
1,53,23,31,5,205,,0.073033018,1,3,0.35,0.3,3.5,0.3
1,53,24,31,6,126,,0.071119762,1,3,0.35,0.3,3.5,0.3
1,67,24,41,19,106,,0.065627713,1,3,0.35,0.3,3.5,0.3
1,60,25,33,5,4,,0.0001,1,3,0.35,0.3,3.5,0.3
1,60,24,33,6,350,,0.077092879,1,3,0.35,0.3,3.5,0.3
1,55,24,31,8,75,,0.1185273,1,3,0.35,0.3,3.5,0.3
1,55,25,31,9,80,,0.111335301,1,3,0.35,0.3,3.5,0.3
1,67,26,41,17,187,,0.143957696,1,3,0.35,0.3,3.5,0.3
1,67,25,41,18,280,,0.167305889,1,3,0.35,0.3,3.5,0.3
1,57,25,34,3,119,,0.142757051,1,3,0.35,0.3,3.5,0.3
1,57,26,34,4,7,,0.0001,1,3,0.35,0.3,3.5,0.3
1,51,26,26,18,343,,0.160314503,1,3,0.35,0.3,3.5,0.3
1,51,25,26,19,38,,0.154881501,1,3,0.35,0.3,3.5,0.3
1,74,27,41,5,185,,0.043059516,1,3,0.35,0.3,3.5,0.3
1,74,26,41,6,286,,0.020911588,1,3,0.35,0.3,3.5,0.3
1,70,26,41,10,69,,0.0001,1,3,0.35,0.3,3.5,0.3
1,70,27,41,11,45,,0.0001,1,3,0.35,0.3,3.5,0.3
1,70,26,41,12,71,,0.027964359,1,3,0.35,0.3,3.5,0.3
1,70,27,41,13,177,,0.146877295,1,3,0.35,0.3,3.5,0.3
1,68,27,41,15,244,,0.171822534,1,3,0.35,0.3,3.5,0.3
1,68,26,41,16,106,,0.207106673,1,3,0.35,0.3,3.5,0.3
1,56,26,16,5,144,,0.055294233,1,3,0.35,0.3,3.5,0.3
1,50,27,26,16,153,,0.150293596,1,3,0.35,0.3,3.5,0.3
1,50,26,26,17,154,,0.122647784,1,3,0.35,0.3,3.5,0.3
1,48,27,26,10,4,,0.0001,1,3,0.35,0.3,3.5,0.3
1,48,26,26,11,71,,0.069910899,1,3,0.35,0.3,3.5,0.3
1,48,27,26,12,14,,0.0001,1,3,0.35,0.3,3.5,0.3
1,48,26,26,13,194,,0.16457423,1,3,0.35,0.3,3.5,0.3
1,47,27,26,7,238,,0.163536224,1,3,0.35,0.3,3.5,0.3
1,47,26,26,8,71,,0.097875258,1,3,0.35,0.3,3.5,0.3
1,47,27,26,9,10,,0.0001,1,3,0.35,0.3,3.5,0.3
1,75,28,41,3,154,,0.00646671,1,3,0.35,0.3,3.5,0.3
1,75,27,41,4,255,,0.023459945,1,3,0.35,0.3,3.5,0.3
1,56,27,16,4,324,,0.049304964,1,3,0.35,0.3,3.5,0.3
1,56,28,16,3,268,,0.022382666,1,3,0.35,0.3,3.5,0.3
1,56,30,43,14,47,,0.08409752,1,3,0.35,0.3,3.5,0.3
1,56,29,43,15,32,,0.06101223,1,3,0.35,0.3,3.5,0.3
1,55,29,45,4,228,,0.052529978,1,3,0.35,0.3,3.5,0.3
1,56,30,43,12,222,,0.044878842,1,3,0.35,0.3,3.5,0.3
1,55,31,45,2,75,,0.013217921,1,3,0.35,0.3,3.5,0.3
1,55,30,45,3,268,,0.067147997,1,3,0.35,0.3,3.5,0.3
1,78,32,37,3,8,,0.0001,1,3,0.35,0.3,3.5,0.3
1,78,31,37,4,324,,0.024631456,1,3,0.35,0.3,3.5,0.3
1,78,32,37,5,79,,0.0001,1,3,0.35,0.3,3.5,0.3
1,76,32,37,7,10,,0.0001,1,3,0.35,0.3,3.5,0.3
1,76,31,37,8,71,,0.0001,1,3,0.35,0.3,3.5,0.3
1,76,32,37,9,131,,0.0001,1,3,0.35,0.3,3.5,0.3
1,76,31,37,10,107,,0.018601207,1,3,0.35,0.3,3.5,0.3
1,74,31,37,12,99,,0.0001,1,3,0.35,0.3,3.5,0.3
1,74,32,37,13,76,,0.039347215,1,3,0.35,0.3,3.5,0.3
1,74,31,37,14,205,,0.004868868,1,3,0.35,0.3,3.5,0.3
1,73,31,37,15,69,,0.01439477,1,3,0.35,0.3,3.5,0.3
1,56,32,43,10,51,,0.097427396,1,3,0.35,0.3,3.5,0.3
1,56,31,43,11,308,,0.058282403,1,3,0.35,0.3,3.5,0.3
1,53,32,5,17,182,,0.065607279,1,3,0.35,0.3,3.5,0.3
1,53,31,5,18,100,,0.039920137,1,3,0.35,0.3,3.5,0.3
1,79,33,37,1,96,,0.041636329,1,3,0.35,0.3,3.5,0.3
1,79,32,37,2,372,,0.002682486,1,3,0.35,0.3,3.5,0.3
1,69,32,37,20,315,,0.053804643,1,3,0.35,0.3,3.5,0.3
1,69,33,37,21,4,,0.0001,1,3,0.35,0.3,3.5,0.3
1,57,33,43,8,261,,0.065025215,1,3,0.35,0.3,3.5,0.3
1,57,32,43,9,278,,0.060968679,1,3,0.35,0.3,3.5,0.3
1,55,32,29,8,280,,0.121029792,1,3,0.35,0.3,3.5,0.3
1,52,32,5,16,192,,0.062366911,1,3,0.35,0.3,3.5,0.3
1,67,33,37,23,69,,0.057579081,1,3,0.35,0.3,3.5,0.3
1,67,34,37,24,214,,0.195809159,1,3,0.35,0.3,3.5,0.3
1,66,34,37,25,9,,0.0001,1,3,0.35,0.3,3.5,0.3
1,66,33,37,26,71,,0.0001,1,3,0.35,0.3,3.5,0.3
1,58,34,43,6,188,,0.047652956,1,3,0.35,0.3,3.5,0.3
1,58,33,43,7,106,,0.112504652,1,3,0.35,0.3,3.5,0.3
1,55,34,29,6,51,,0.0001,1,3,0.35,0.3,3.5,0.3
1,55,33,29,7,255,,0.101878243,1,3,0.35,0.3,3.5,0.3
1,52,34,5,14,45,,0.06613569,1,3,0.35,0.3,3.5,0.3
1,52,33,5,15,337,,0.065210513,1,3,0.35,0.3,3.5,0.3
1,66,34,37,27,319,,0.122067058,1,3,0.35,0.3,3.5,0.3
1,66,35,37,28,4,,0.0001,1,3,0.35,0.3,3.5,0.3
1,59,35,43,4,40,,0.27050406,1,3,0.35,0.3,3.5,0.3
1,59,34,43,5,309,,0.058064726,1,3,0.35,0.3,3.5,0.3
1,56,35,29,4,228,,0.096278352,1,3,0.35,0.3,3.5,0.3
1,56,34,29,5,286,,0.08739772,1,3,0.35,0.3,3.5,0.3
1,51,35,5,12,78,,0.114951029,1,3,0.35,0.3,3.5,0.3
1,51,34,5,13,302,,0.069384084,1,3,0.35,0.3,3.5,0.3
1,65,36,30,3,114,,0.096398244,1,3,0.35,0.3,3.5,0.3
1,65,35,30,4,195,,0.158207767,1,3,0.35,0.3,3.5,0.3
1,62,35,28,4,37,,0.052796015,1,3,0.35,0.3,3.5,0.3
1,62,36,28,5,287,,0.135445025,1,3,0.35,0.3,3.5,0.3
1,61,36,43,1,269,,0.059262199,1,3,0.35,0.3,3.5,0.3
