 "GAGE No.    5:  K,I,J Coord. =     1,   48,   39;  STREAM SEGMENT =     5;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.4600000E+02   4.0871638E+03   1.1267996E+05
     1.4700000E+02   4.0871404E+03   8.7246555E+04
     1.4800000E+02   4.0871367E+03   8.3566094E+04
     1.4900000E+02   4.0871555E+03   1.0337480E+05
     1.5000000E+02   4.0871465E+03   9.3507852E+04
     1.5100000E+02   4.0871438E+03   9.0711570E+04
     1.5200000E+02   4.0871335E+03   8.0380797E+04
     1.5300000E+02   4.0871292E+03   7.5868211E+04
     1.5400000E+02   4.0871431E+03   9.0065883E+04
     1.5500000E+02   4.0871262E+03   7.3061805E+04
     1.5600000E+02   4.0871238E+03   7.0729062E+04
     1.5700000E+02   4.0871294E+03   7.6405328E+04
     1.5800000E+02   4.0871321E+03   7.8958352E+04
     1.5900000E+02   4.0872031E+03   1.6124125E+05
     1.6000000E+02   4.0871240E+03   7.1102680E+04
     1.6100000E+02   4.0871238E+03   7.0786680E+04
     1.6200000E+02   4.0871179E+03   6.5410484E+04
     1.6300000E+02   4.0871169E+03   6.4393301E+04
     1.6400000E+02   4.0871611E+03   1.0976470E+05
     1.6500000E+02   4.0871270E+03   7.3931438E+04
     1.6600000E+02   4.0871406E+03   8.7912414E+04
     1.6700000E+02   4.0871277E+03   7.4597938E+04
     1.6800000E+02   4.0871484E+03   9.5632547E+04
     1.6900000E+02   4.0871221E+03   6.9316953E+04
     1.7000000E+02   4.0871199E+03   6.7246523E+04
     1.7100000E+02   4.0871204E+03   6.7652695E+04
     1.7200000E+02   4.0871245E+03   7.1556602E+04
     1.7300000E+02   4.0871189E+03   6.6239961E+04
     1.7400000E+02   4.0871177E+03   6.5142379E+04
     1.7500000E+02   4.0871155E+03   6.3122562E+04
     1.7600000E+02   4.0871145E+03   6.2198445E+04
     1.7700000E+02   4.0871118E+03   5.9726160E+04
     1.7800000E+02   4.0871091E+03   5.7320684E+04
     1.7900000E+02   4.0871086E+03   5.6962383E+04
     1.8000000E+02   4.0871079E+03   5.6460652E+04
     1.8100000E+02   4.0871082E+03   5.6465715E+04
     1.8200000E+02   4.0871084E+03   5.6703508E+04
     1.8300000E+02   4.0871118E+03   5.9665949E+04
     1.8400000E+02   4.0871128E+03   6.0860035E+04
     1.8500000E+02   4.0871108E+03   5.9032242E+04
     1.8600000E+02   4.0871309E+03   7.7720484E+04
     1.8700000E+02   4.0871223E+03   6.9361352E+04
     1.8800000E+02   4.0871340E+03   8.0743531E+04
     1.8900000E+02   4.0871350E+03   8.1862211E+04
     1.9000000E+02   4.0871206E+03   6.7857906E+04
     1.9100000E+02   4.0871233E+03   7.0405930E+04
     1.9200000E+02   4.0871223E+03   6.9341359E+04
