 "GAGE No.    3:  K,I,J Coord. =     1,   46,   41;  STREAM SEGMENT =     8;  REACH =    23 "
     "DATA: Time           Stage            Flow"
     1.6100000E+02   4.1051323E+03   6.0493172E+04
     1.6200000E+02   4.1051260E+03   5.5587027E+04
     1.6300000E+02   4.1051250E+03   5.4996105E+04
     1.6400000E+02   4.1051499E+03   7.4270164E+04
     1.6500000E+02   4.1051357E+03   6.3219293E+04
     1.6600000E+02   4.1051343E+03   6.2103309E+04
     1.6700000E+02   4.1051338E+03   6.1494414E+04
     1.6800000E+02   4.1051323E+03   6.0612156E+04
     1.6900000E+02   4.1051279E+03   5.7028027E+04
     1.7000000E+02   4.1051260E+03   5.5814707E+04
     1.7100000E+02   4.1051274E+03   5.6926734E+04
     1.7200000E+02   4.1051338E+03   6.1447992E+04
     1.7300000E+02   4.1051270E+03   5.6417656E+04
     1.7400000E+02   4.1051260E+03   5.5698012E+04
     1.7500000E+02   4.1051230E+03   5.3608672E+04
     1.7600000E+02   4.1051226E+03   5.3318922E+04
     1.7700000E+02   4.1051196E+03   5.1163051E+04
     1.7800000E+02   4.1051167E+03   4.9042496E+04
     1.7900000E+02   4.1051167E+03   4.8964301E+04
     1.8000000E+02   4.1051162E+03   4.8713402E+04
     1.8100000E+02   4.1051167E+03   4.8949793E+04
     1.8200000E+02   4.1051172E+03   4.9397742E+04
     1.8300000E+02   4.1051216E+03   5.2538180E+04
     1.8400000E+02   4.1051201E+03   5.1495727E+04
     1.8500000E+02   4.1051201E+03   5.1529535E+04
     1.8600000E+02   4.1051445E+03   6.9890258E+04
     1.8700000E+02   4.1051328E+03   6.0816930E+04
     1.8800000E+02   4.1051484E+03   7.3030953E+04
     1.8900000E+02   4.1051309E+03   5.9196035E+04
     1.9000000E+02   4.1051299E+03   5.8396230E+04
     1.9100000E+02   4.1051333E+03   6.1308398E+04
     1.9200000E+02   4.1051328E+03   6.0645711E+04
     1.9300000E+02   4.1051309E+03   5.9326547E+04
     1.9400000E+02   4.1051309E+03   5.9160391E+04
     1.9500000E+02   4.1051294E+03   5.8261293E+04
     1.9600000E+02   4.1051299E+03   5.8478242E+04
     1.9700000E+02   4.1051294E+03   5.8039215E+04
     1.9800000E+02   4.1051294E+03   5.8284008E+04
     1.9900000E+02   4.1051333E+03   6.1264609E+04
     2.0000000E+02   4.1051333E+03   6.1184004E+04
     2.0100000E+02   4.1051411E+03   6.7164672E+04
     2.0200000E+02   4.1051362E+03   6.3516961E+04
     2.0300000E+02   4.1051362E+03   6.3289500E+04
     2.0400000E+02   4.1051353E+03   6.2640367E+04
     2.0500000E+02   4.1051309E+03   5.9213500E+04
     2.0600000E+02   4.1051406E+03   6.7021547E+04
     2.0700000E+02   4.1051401E+03   6.6344367E+04
     2.0800000E+02   4.1051357E+03   6.3074812E+04
     2.0900000E+02   4.1051294E+03   5.8197426E+04
     2.1000000E+02   4.1051353E+03   6.2644797E+04
     2.1100000E+02   4.1051313E+03   5.9556953E+04
     2.1200000E+02   4.1051431E+03   6.8829555E+04
     2.1300000E+02   4.1051353E+03   6.2817207E+04
     2.1400000E+02   4.1051353E+03   6.2767895E+04
     2.1500000E+02   4.1051348E+03   6.2337336E+04
     2.1600000E+02   4.1051333E+03   6.1173887E+04
     2.1700000E+02   4.1051313E+03   5.9667887E+04
     2.1800000E+02   4.1051318E+03   5.9952566E+04
     2.1900000E+02   4.1051323E+03   6.0508527E+04
     2.2000000E+02   4.1051274E+03   5.6791961E+04
     2.2100000E+02   4.1051270E+03   5.6443355E+04
     2.2200000E+02   4.1051279E+03   5.7066406E+04
     2.2300000E+02   4.1051270E+03   5.6426562E+04
     2.2400000E+02   4.1051284E+03   5.7473930E+04
