 "GAGE No.    8:  K,I,J Coord. =     1,   61,    6;  STREAM SEGMENT =    32;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.9200000E+02   3.5292346E+03   1.1664592E+05
     1.9300000E+02   3.5292283E+03   1.1146576E+05
     1.9400000E+02   3.5292263E+03   1.0986407E+05
     1.9500000E+02   3.5292244E+03   1.0826209E+05
     1.9600000E+02   3.5292302E+03   1.1300620E+05
     1.9700000E+02   3.5292241E+03   1.0808804E+05
     1.9800000E+02   3.5292229E+03   1.0702891E+05
     1.9900000E+02   3.5292249E+03   1.0873551E+05
     2.0000000E+02   3.5292236E+03   1.0773537E+05
     2.0100000E+02   3.5292292E+03   1.1213388E+05
     2.0200000E+02   3.5292244E+03   1.0824619E+05
     2.0300000E+02   3.5292234E+03   1.0737821E+05
     2.0400000E+02   3.5292219E+03   1.0621801E+05
     2.0500000E+02   3.5292263E+03   1.0986061E+05
     2.0600000E+02   3.5292412E+03   1.2211752E+05
     2.0700000E+02   3.5292351E+03   1.1706837E+05
     2.0800000E+02   3.5292307E+03   1.1335170E+05
     2.0900000E+02   3.5292234E+03   1.0739247E+05
     2.1000000E+02   3.5292297E+03   1.1265043E+05
     2.1100000E+02   3.5292239E+03   1.0785609E+05
     2.1200000E+02   3.5292375E+03   1.1895795E+05
     2.1300000E+02   3.5292278E+03   1.1097149E+05
     2.1400000E+02   3.5292361E+03   1.1787711E+05
     2.1500000E+02   3.5292292E+03   1.1224844E+05
     2.1600000E+02   3.5292263E+03   1.0975809E+05
     2.1700000E+02   3.5292231E+03   1.0725843E+05
     2.1800000E+02   3.5292222E+03   1.0655498E+05
     2.1900000E+02   3.5292217E+03   1.0617761E+05
     2.2000000E+02   3.5292166E+03   1.0215137E+05
     2.2100000E+02   3.5292153E+03   1.0106859E+05
     2.2200000E+02   3.5292151E+03   1.0090315E+05
     2.2300000E+02   3.5292136E+03   9.9720625E+04
     2.2400000E+02   3.5292209E+03   1.0546880E+05
     2.2500000E+02   3.5292158E+03   1.0143828E+05
     2.2600000E+02   3.5292163E+03   1.0181270E+05
     2.2700000E+02   3.5292153E+03   1.0103666E+05
     2.2800000E+02   3.5292117E+03   9.8329773E+04
     2.2900000E+02   3.5292112E+03   9.7854883E+04
     2.3000000E+02   3.5292178E+03   1.0306325E+05
     2.3100000E+02   3.5292224E+03   1.0671141E+05
     2.3200000E+02   3.5292283E+03   1.1143203E+05
     2.3300000E+02   3.5292102E+03   9.7163430E+04
     2.3400000E+02   3.5292073E+03   9.4873391E+04
     2.3500000E+02   3.5292185E+03   1.0349590E+05
     2.3600000E+02   3.5292126E+03   9.9032352E+04
     2.3700000E+02   3.5292129E+03   9.9124148E+04
     2.3800000E+02   3.5292131E+03   9.9311133E+04
     2.3900000E+02   3.5292151E+03   1.0092734E+05
     2.4000000E+02   3.5292156E+03   1.0123367E+05
     2.4100000E+02   3.5292156E+03   1.0130718E+05
     2.4200000E+02   3.5292163E+03   1.0177050E+05
     2.4300000E+02   3.5292158E+03   1.0144966E+05
     2.4400000E+02   3.5292175E+03   1.0282115E+05
     2.4500000E+02   3.5292239E+03   1.0784040E+05
     2.4600000E+02   3.5292192E+03   1.0413895E+05
     2.4700000E+02   3.5292200E+03   1.0481880E+05
     2.4800000E+02   3.5292166E+03   1.0212050E+05
     2.4900000E+02   3.5292109E+03   9.7769250E+04
     2.5000000E+02   3.5292107E+03   9.7436203E+04
     2.5100000E+02   3.5292126E+03   9.9087336E+04
     2.5200000E+02   3.5292185E+03   1.0363769E+05
     2.5300000E+02   3.5292197E+03   1.0448113E+05
     2.5400000E+02   3.5292136E+03   9.9703672E+04
     2.5500000E+02   3.5292131E+03   9.9409594E+04
     2.5600000E+02   3.5292158E+03   1.0138955E+05
     2.5700000E+02   3.5292546E+03   1.3358545E+05
     2.5800000E+02   3.5292322E+03   1.1466682E+05
     2.5900000E+02   3.5292334E+03   1.1564359E+05
     2.6000000E+02   3.5292490E+03   1.2868759E+05
     2.6100000E+02   3.5292349E+03   1.1671905E+05
     2.6200000E+02   3.5292312E+03   1.1387357E+05
     2.6300000E+02   3.5292295E+03   1.1233289E+05
     2.6400000E+02   3.5292295E+03   1.1231839E+05
     2.6500000E+02   3.5292402E+03   1.2119838E+05
     2.6600000E+02   3.5292310E+03   1.1364349E+05
     2.6700000E+02   3.5292290E+03   1.1201776E+05
     2.6800000E+02   3.5292256E+03   1.0921832E+05
     2.6900000E+02   3.5292258E+03   1.0936291E+05
     2.7000000E+02   3.5292249E+03   1.0869034E+05
     2.7100000E+02   3.5292258E+03   1.0945971E+05
     2.7200000E+02   3.5292202E+03   1.0499588E+05
     2.7300000E+02   3.5292170E+03   1.0237131E+05
     2.7400000E+02   3.5292180E+03   1.0320141E+05
     2.7500000E+02   3.5292673E+03   1.4481762E+05
     2.7600000E+02   3.5292681E+03   1.4557248E+05
     2.7700000E+02   3.5292522E+03   1.3144244E+05
     2.7800000E+02   3.5294370E+03   3.2823838E+05
     2.7900000E+02   3.5292998E+03   1.7533189E+05
     2.8000000E+02   3.5292817E+03   1.5814366E+05
     2.8100000E+02   3.5292795E+03   1.5602978E+05
     2.8200000E+02   3.5292664E+03   1.4407283E+05
     2.8300000E+02   3.5292605E+03   1.3884356E+05
     2.8400000E+02   3.5292539E+03   1.3298522E+05
     2.8500000E+02   3.5292476E+03   1.2752231E+05
